Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	Detected = 173.85 Hz	detected pitch = 173.68 Hz	detected pitch = 173.84 Hz	053-f.wav	53.00	0.00	174.61	173.85	173.68	173.84		173.79	0.10	173.79	52.9180985651229	8.19014348770608	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=52	MIDIKeyNumber=52	MIDIKeyNumber=52	Detected = 173.85 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=92.398059	MIDIPitchFraction=90.751783	MIDIPitchFraction=92.261650	MIDIKeyNumber=52	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	054-f#.wav	054-f#.wav	054-f#.wav	MIDIPitchFraction=92.398059	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 184.32 Hz	detected pitch = 184.55 Hz	detected pitch = 184.35 Hz	054-f#.wav	54.00	0.00	185.00	184.32	184.55	184.35		184.406666666667	0.13	184.406666666667	53.9446474709594	5.53525290406114	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=53	MIDIKeyNumber=53	MIDIKeyNumber=53	Detected = 184.32 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=93.648472	MIDIPitchFraction=95.788461	MIDIPitchFraction=93.957405	MIDIKeyNumber=53	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	055-g.wav	055-g.wav	055-g.wav	MIDIPitchFraction=93.648472	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 195.83 Hz	detected pitch = 98.14 Hz	detected pitch = 195.89 Hz	055-g.wav	55.00	0.00	196.00	195.83	196.28	195.89		196	0.24	196	55.0002015670866	-0.0201567086584475	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=54	MIDIKeyNumber=43	MIDIKeyNumber=54	Detected = 195.83 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
